 ID, Manager ID, Location ID, First Name, Last Name, Email, Role, Annual Salary, Hire Date
289350603,,1144840752,Bob,Williams,bob.williams@example.com,Manager,100000.0,2020-01-01 00:00:00 UTC
122346013,289350603,1144840752,John,Williams,john.williams@example.com,Contractor,50000.0,2022-01-01 00:00:00 UTC
519770588,289350603,1144840752,Alice,Brown,alice.brown@example.com,Contractor,100000.0,2020-01-01 00:00:00 UTC
742365891,289350603,1144840752,John,Smith,john.smith@example.com,Employee,100000.0,2021-01-01 00:00:00 UTC
2138075717,289350603,1144840752,Alice,Williams,alice.williams@example.com,Intern,75000.0,2020-01-01 00:00:00 UTC
1997519883,,1137426217,Bob,Williams,bob.williams@example.com,Manager,75000.0,2022-01-01 00:00:00 UTC
643793315,1997519883,1137426217,Bob,Brown,bob.brown@example.com,Contractor,75000.0,2022-01-01 00:00:00 UTC
943289491,1997519883,1137426217,Alice,Smith,alice.smith@example.com,Contractor,75000.0,2021-01-01 00:00:00 UTC
1507141089,1997519883,1137426217,John,Brown,john.brown@example.com,Employee,50000.0,2020-01-01 00:00:00 UTC
374742912,1997519883,1137426217,John,Smith,john.smith@example.com,Employee,100000.0,2021-01-01 00:00:00 UTC
1050508733,,1408913944,John,Williams,john.williams@example.com,Manager,100000.0,2020-01-01 00:00:00 UTC
1837155942,1050508733,1408913944,Bob,Brown,bob.brown@example.com,Contractor,50000.0,2022-01-01 00:00:00 UTC
81801061,1050508733,1408913944,Bob,Johnson,bob.johnson@example.com,Intern,50000.0,2022-01-01 00:00:00 UTC
517880878,1050508733,1408913944,Jane,Smith,jane.smith@example.com,Intern,75000.0,2020-01-01 00:00:00 UTC
1608037409,1050508733,1408913944,Alice,Smith,alice.smith@example.com,Intern,50000.0,2022-01-01 00:00:00 UTC
1439420165,,1886397906,Alice,Johnson,alice.johnson@example.com,Manager,50000.0,2022-01-01 00:00:00 UTC
1180861141,1439420165,1886397906,John,Williams,john.williams@example.com,Intern,50000.0,2020-01-01 00:00:00 UTC
1398229709,1439420165,1886397906,Jane,Johnson,jane.johnson@example.com,Employee,50000.0,2020-01-01 00:00:00 UTC
951775129,1439420165,1886397906,Jane,Johnson,jane.johnson@example.com,Contractor,100000.0,2021-01-01 00:00:00 UTC
840859815,1439420165,1886397906,Alice,Johnson,alice.johnson@example.com,Contractor,100000.0,2020-01-01 00:00:00 UTC
1224300936,1439420165,1886397906,Bob,Williams,bob.williams@example.com,Intern,100000.0,2022-01-01 00:00:00 UTC
1029413620,,2029903910,John,Brown,john.brown@example.com,Manager,75000.0,2020-01-01 00:00:00 UTC
126591564,1029413620,2029903910,Bob,Brown,bob.brown@example.com,Contractor,100000.0,2020-01-01 00:00:00 UTC
1157138452,1029413620,2029903910,Bob,Williams,bob.williams@example.com,Intern,50000.0,2022-01-01 00:00:00 UTC
895334175,1029413620,2029903910,John,Williams,john.williams@example.com,Employee,50000.0,2020-01-01 00:00:00 UTC
1816148921,1029413620,2029903910,Alice,Johnson,alice.johnson@example.com,Intern,100000.0,2022-01-01 00:00:00 UTC
1826904509,1029413620,2029903910,John,Johnson,john.johnson@example.com,Intern,50000.0,2020-01-01 00:00:00 UTC
1218790066,,458772028,Bob,BIXHIU PhD,bob.bixhiu phd@chemcorp.com,Plant Manager,150000.0,2020-01-01 00:00:00 UTC
567093117,1218790066,458772028,Alice,YIFEEG MD,alice.yifeeg md@chemcorp.com,Chemical Operator,85000.0,2020-01-01 00:00:00 UTC
2011624881,1218790066,458772028,David,DAFUON MD,david.dafuon md@chemcorp.com,Chemical Operator,85000.0,2020-01-01 00:00:00 UTC
730682174,1218790066,458772028,Alice,QEPGEE Sr.,alice.qepgee sr.@chemcorp.com,Quality Control,80000.0,2020-01-01 00:00:00 UTC
631090089,1218790066,458772028,Charlie,GEFTEA MD,charlie.geftea md@chemcorp.com,Process Engineer,110000.0,2022-03-15 00:00:00 UTC
2040432219,1218790066,458772028,Bob,FUMGOH MD,bob.fumgoh md@chemcorp.com,Chemical Operator,85000.0,2020-01-01 00:00:00 UTC
273056157,1218790066,458772028,Alice,EOAEOA Sr.,alice.eoaeoa sr.@chemcorp.com,Quality Control,80000.0,2020-01-01 00:00:00 UTC
785252162,1218790066,458772028,Bob,GOFVUA PhD,bob.gofvua phd@chemcorp.com,Quality Control,80000.0,2021-06-01 00:00:00 UTC
1810323897,1218790066,458772028,Bob,QUQLAX Esq.,bob.quqlax esq.@chemcorp.com,Safety Engineer,95000.0,2020-01-01 00:00:00 UTC
639105002,,2103319139,Alice,MEJGOI Esq.,alice.mejgoi esq.@chemcorp.com,Plant Manager,150000.0,2022-03-15 00:00:00 UTC
